angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"[284, 207, 139, 172]",0.0,0.05,0.01,0.67,0.2,0.01
0.04,"[287, 210, 130, 165]",0.0,0.13,0.01,0.43,0.38,0.01
0.04,"[288, 208, 136, 167]",0.0,0.04,0.0,0.36,0.53,0.02
0.06,"[290, 208, 133, 166]",0.0,0.05,0.04,0.38,0.41,0.06
0.06,"[290, 209, 134, 167]",0.0,0.05,0.07,0.54,0.26,0.02
0.05,"[294, 212, 129, 159]",0.0,0.12,0.01,0.49,0.32,0.0
0.08,"[289, 211, 133, 161]",0.0,0.16,0.01,0.32,0.42,0.01
0.07,"[298, 212, 125, 156]",0.0,0.14,0.01,0.48,0.3,0.01
0.05,"[292, 206, 132, 164]",0.0,0.08,0.02,0.55,0.31,0.0
0.09,"[291, 213, 131, 162]",0.0,0.16,0.02,0.34,0.38,0.01
0.04,"[289, 214, 131, 160]",0.0,0.17,0.01,0.22,0.52,0.03
0.03,"[285, 201, 134, 174]",0.0,0.11,0.02,0.66,0.17,0.01
0.06,"[284, 208, 134, 168]",0.0,0.13,0.01,0.39,0.42,0.0
0.06,"[278, 192, 143, 185]",0.0,0.19,0.01,0.47,0.25,0.02
0.03,"[253, 188, 156, 193]",0.0,0.05,0.01,0.65,0.26,0.0
0.03,"[236, 180, 161, 206]",0.0,0.05,0.02,0.78,0.1,0.02
0.02,"[225, 193, 164, 203]",0.0,0.03,0.02,0.72,0.2,0.0
0.04,"[213, 191, 173, 211]",0.0,0.07,0.01,0.71,0.17,0.01
0.03,"[217, 196, 169, 209]",0.0,0.05,0.02,0.69,0.2,0.0
0.04,"[221, 198, 165, 205]",0.0,0.06,0.01,0.67,0.22,0.0
0.03,"[222, 199, 164, 203]",0.0,0.05,0.0,0.58,0.34,0.0
0.04,"[222, 197, 163, 203]",0.0,0.08,0.01,0.51,0.36,0.0
0.03,"[222, 195, 165, 205]",0.0,0.07,0.01,0.67,0.22,0.0
0.02,"[218, 192, 169, 210]",0.0,0.06,0.01,0.75,0.15,0.02
0.06,"[220, 193, 164, 205]",0.0,0.17,0.02,0.57,0.15,0.03
0.03,"[222, 193, 167, 207]",0.0,0.06,0.01,0.67,0.22,0.01
0.04,"[222, 194, 168, 207]",0.0,0.08,0.04,0.64,0.2,0.01
0.02,"[223, 191, 166, 208]",0.0,0.03,0.02,0.7,0.1,0.13
0.03,"[223, 191, 165, 206]",0.0,0.08,0.02,0.66,0.13,0.06
0.02,"[222, 190, 168, 209]",0.0,0.03,0.03,0.77,0.15,0.01
0.02,"[223, 194, 166, 204]",0.0,0.07,0.01,0.67,0.22,0.01
0.02,"[224, 193, 166, 207]",0.0,0.05,0.03,0.65,0.24,0.0
0.02,"[222, 191, 169, 208]",0.0,0.05,0.01,0.72,0.17,0.02
0.02,"[223, 188, 169, 211]",0.0,0.03,0.01,0.78,0.15,0.01
0.03,"[222, 190, 170, 208]",0.0,0.06,0.01,0.65,0.25,0.0
0.04,"[234, 201, 155, 193]",0.0,0.1,0.03,0.49,0.33,0.01
0.02,"[223, 189, 170, 210]",0.0,0.06,0.02,0.71,0.19,0.01
0.03,"[223, 191, 167, 207]",0.0,0.05,0.03,0.68,0.18,0.02
0.02,"[221, 194, 164, 199]",0.0,0.06,0.01,0.78,0.12,0.01
0.04,"[224, 190, 168, 208]",0.0,0.08,0.03,0.67,0.17,0.02
0.02,"[225, 184, 162, 211]",0.0,0.06,0.01,0.75,0.1,0.06
0.01,"[223, 194, 164, 199]",0.0,0.03,0.02,0.84,0.1,0.01
0.02,"[221, 188, 169, 210]",0.0,0.02,0.01,0.59,0.32,0.04
0.01,"[222, 191, 164, 202]",0.0,0.02,0.01,0.81,0.14,0.01
0.04,"[226, 189, 157, 193]",0.0,0.22,0.01,0.47,0.23,0.02
0.01,"[226, 194, 165, 199]",0.0,0.03,0.02,0.83,0.1,0.0
0.03,"[226, 195, 167, 203]",0.0,0.1,0.06,0.64,0.16,0.02
